EVENT_DT,EVENT_EFFECTIVE_GMT_TS,SOURCE_CHANNEL_CD,SOURCE_EVENT_ID,SOURCE_EVENT_DESC_TXT,CORE_EVENT_TYPE_NM,CORE_EVENT_SUBTYPE_NM,CORE_EVENT_NM_NOUN_NM,ORIGINATING_CONTACT_POINT,DESTINATION_CONTACT_POINT,OTHER_ATTRIBUTES,RELATED_PRODUCT,COMMUNICATION_EVENT_ATTRIBUTES,CORE_EVENT_SUBTYPE_2_NM,CORE_EVENT_SUBTYPE_3_NM,POST_EVENT,CUSTOM_ATTRIBUTE
10/17/2024,11:48,www,bk-auto-loan-app-0,cco_approve_edit_card,CSL,DEC,655,contact_point_6,contact_point_3,attribute_10,product_4,comm_event_9,CLM,APPLY FOR LOAN,App Not Complete,custom_attr_6
10/17/2024,13:39,www,bk-lending-cloe-fe-closing-1,auto_loan_app_approved,ASL,DEC,690,contact_point_5,contact_point_4,attribute_10,product_8,comm_event_2,CLM,APPLY FOR LOAN,App Not Complete,custom_attr_3
10/17/2024,13:13,www,bk-card-cco-apply-2,auto_loan_app_approved,CSL,DEC,760,contact_point_4,contact_point_9,attribute_10,product_10,comm_event_4,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_4
10/17/2024,6:56,mob,bk-auto-loan-app-3,auto_loan_app_approved,CRC,ACQ,771,contact_point_3,contact_point_6,attribute_4,product_6,comm_event_4,CLM,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_8
10/17/2024,0:54,iph,bk-card-cco-apply-4,pul_loan_app_post_bureau_decline,ASL,ACQPL,776,contact_point_3,contact_point_1,attribute_10,product_7,comm_event_3,CLM,OPEN CREDIT CARD ACCOUNT,App Complete,custom_attr_6
10/17/2024,21:33,iph,bk-lending-cloe-fe-closing-5,pul_loan_app_post_bureau_decline,CRC,ACQPL,603,contact_point_7,contact_point_2,attribute_9,product_2,comm_event_1,DEC,APPLY FOR LOAN,App Not Complete,custom_attr_10
10/17/2024,12:44,and,bk-auto-loan-app-6,cco_approve_edit_card,ASL,ACQ,600,contact_point_7,contact_point_3,attribute_2,product_2,comm_event_3,PRC,APPLY FOR CONSUMER LOAN,App Complete,custom_attr_1
10/17/2024,10:02,and,bk-auto-loan-app-7,auto_loan_app_approved,CRC,DEC,786,contact_point_2,contact_point_10,attribute_1,product_6,comm_event_5,CLM,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_4
10/17/2024,19:09,iph,bk-auto-loan-app-8,pul_loan_app_post_bureau_decline,CSL,ACQ,661,contact_point_8,contact_point_7,attribute_6,product_5,comm_event_9,PRC,APPLY FOR LOAN,App Complete,custom_attr_4
10/17/2024,14:36,www,bk-auto-loan-app-9,pul_loan_app_post_bureau_decline,ASL,ACQ,719,contact_point_7,contact_point_6,attribute_10,product_1,comm_event_4,DEC,OPEN CREDIT CARD ACCOUNT,App Not Complete,custom_attr_4
10/17/2024,1:03,and,bk-lending-cloe-fe-closing-10,pul_loan_app_post_bureau_decline,ASL,DEC,699,contact_point_2,contact_point_5,attribute_3,product_3,comm_event_5,PRC,APPLY FOR CONSUMER LOAN,App Not Complete,custom_attr_4
